Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 0's token_index 346
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 1's token_index 279
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 2's token_index 513
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 3's token_index 89
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 4's token_index 146
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 5's token_index 485
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 6's token_index 263
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 7's token_index 411
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 8's token_index 449
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 9's token_index 95
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 10's token_index 91
Sat 27 May 2017 11:10:45 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'17887248', u'user_id': 17887248, u'id': 845466989778784257L, u'id_str': u'845466989778784257'}, u'timestamp_ms': u'1495854642507'}}
Sat 27 May 2017 11:10:47 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 111911849527738368L, u'id_str': u'111911849527738368'}, u'timestamp_ms': u'1495854634869'}}
Sat 27 May 2017 11:10:50 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'17887248', u'user_id': 17887248, u'id': 845458320399904770L, u'id_str': u'845458320399904770'}, u'timestamp_ms': u'1495854646572'}}
Sat 27 May 2017 11:10:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 109990048446955520L, u'id_str': u'109990048446955520'}, u'timestamp_ms': u'1495854637848'}}
Sat 27 May 2017 11:10:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 108698593812168704L, u'id_str': u'108698593812168704'}, u'timestamp_ms': u'1495854640751'}}
Sat 27 May 2017 11:10:54 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'51112072', u'user_id': 51112072, u'id': 868303300017348608L, u'id_str': u'868303300017348608'}, u'timestamp_ms': u'1495854625828'}}
Sat 27 May 2017 11:10:55 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 107659280538288128L, u'id_str': u'107659280538288128'}, u'timestamp_ms': u'1495854644929'}}
Sat 27 May 2017 11:10:58 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 107658157299478528L, u'id_str': u'107658157299478528'}, u'timestamp_ms': u'1495854647859'}}
Sat 27 May 2017 11:11:00 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 107655863585615872L, u'id_str': u'107655863585615872'}, u'timestamp_ms': u'1495854650666'}}
Sat 27 May 2017 11:11:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 107654888372187136L, u'id_str': u'107654888372187136'}, u'timestamp_ms': u'1495854653453'}}
Sat 27 May 2017 11:11:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'17887248', u'user_id': 17887248, u'id': 845435252440907776L, u'id_str': u'845435252440907776'}, u'timestamp_ms': u'1495854657549'}}
Sat 27 May 2017 11:11:06 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'17887248', u'user_id': 17887248, u'id': 845431532068093952L, u'id_str': u'845431532068093952'}, u'timestamp_ms': u'1495854661306'}}
Sat 27 May 2017 11:11:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 101457729935261696L, u'id_str': u'101457729935261696'}, u'timestamp_ms': u'1495854662493'}}
Sat 27 May 2017 11:11:15 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 101456727874080768L, u'id_str': u'101456727874080768'}, u'timestamp_ms': u'1495854668853'}}
Sat 27 May 2017 11:11:20 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 100602319732875264L, u'id_str': u'100602319732875264'}, u'timestamp_ms': u'1495854675816'}}
Sat 27 May 2017 11:11:22 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 100312815730032640L, u'id_str': u'100312815730032640'}, u'timestamp_ms': u'1495854678721'}}
Sat 27 May 2017 11:11:29 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 100310314737864704L, u'id_str': u'100310314737864704'}, u'timestamp_ms': u'1495854683253'}}
Sat 27 May 2017 11:11:34 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'911706234', u'user_id': 911706234, u'id': 868298448940003329L, u'id_str': u'868298448940003329'}, u'timestamp_ms': u'1495854691020'}}
Sat 27 May 2017 11:11:43 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 100274803688214528L, u'id_str': u'100274803688214528'}, u'timestamp_ms': u'1495854697494'}}
Sat 27 May 2017 11:11:45 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 99993112725819392L, u'id_str': u'99993112725819392'}, u'timestamp_ms': u'1495854700339'}}
Sat 27 May 2017 11:11:47 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 99991328577961984L, u'id_str': u'99991328577961984'}, u'timestamp_ms': u'1495854703289'}}
Sat 27 May 2017 11:11:49 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 99990156890742784L, u'id_str': u'99990156890742784'}, u'timestamp_ms': u'1495854706154'}}
Sat 27 May 2017 11:11:53 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 98962326245490688L, u'id_str': u'98962326245490688'}, u'timestamp_ms': u'1495854709060'}}
